Dossiers-Dossier;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,omschrijving,status,detailStatus,clusters,collectiefObjecten,contactmomenten,deelDossiers,eenheden,inkoopfacturen,inkoopopdrachten,omvattendDossier,onderhoudsverzoeken,overeenkomsten,processen,relaties,zaken,extra-attributen,informatieobjecten
Dossiers-NatuurlijkPersoon;allOf: Dossiers-Relatie,voornaam,initialen,aanhef,account,achternaam,bsn,burgerlijkeStaat,geboortedatum,geslacht,inkomens,nationaliteit,opleiding,overlijdensdatum,roepnaam,tussenvoegsels,voorkeurstaal,voorletters
Dossiers-Rechtspersoon;allOf: Dossiers-Relatie,naam,btwNummer,globaalLocatienummer,kvkNummer,organisatievorm,relaties
Dossiers-Relatie;id,idExtern,idGegevensbeheerder,code,soort,rollen
Dossiers-Relatiegroep;allOf: Dossiers-Relatie,naam,relaties
Dossiers-Relatierol;id,idExtern,idGegevensbeheerder,code,soort,naam,omschrijving,rolRelatie
Dossiers-Zaak;id,idExtern,idGegevensbeheerder,code,omschrijving,toelichting,begindatum,einddatum,registratiedatum,deelzaken,eenheden,geplandeEinddatum,gerelateerdeZaken,isDeelzaakVan,overeenkomsten,rollen,uiterlijkeEinddatum,zaakstatussen,zaaktype
ExtraAttribuut;naam,waarde
Foutbericht;code,omschrijving
Informatieobject;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,onderwerp,subonderwerp,titel,beschrijving,bestand,bestandsgrootte,bestandslocatie,bestandsnaam,externePublicatie,externePublicatietekst,formaat,gebruiksrechten,taal,versie,vertrouwelijkheid
Informatieobjecten-Contactmoment;id,idExtern,idGegevensbeheerder,code,omschrijving,datum,dossier,kanaal,relaties,richting,zaak
Informatieobjecten-Informatieobject;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,onderwerp,subonderwerp,titel,beschrijving,status,detailStatus,registratiedatum,ontvangstdatum,publicatiedatum,archiefActiedatum,archiefnominatie,auteur,bestand,bestandsgrootte,bestandslocatie,bestandsnaam,bijlagen,clusters,collectiefObjecten,contactmomenten,dossiers,eenheden,externePublicatie,externePublicatietekst,formaat,gebruiksrechten,inkoopfacturen,inkoopopdrachten,isBijlageVan,onderhoudsverzoeken,overeenkomsten,processen,relaties,taal,verantwoordelijkeOrganisatie,versie,vertrouwelijkheid,zaken,extra-attributen,informatieobjecten
Informatieobjecten-Relatie;id,idExtern,idGegevensbeheerder,code,soort,rollen
Informatieobjecten-Relatierol;id,idExtern,idGegevensbeheerder,code,soort,naam
Referentiedata;code,naam
Zaken-NatuurlijkPersoon;allOf: Zaken-Relatie,voornaam,initialen,aanhef,account,achternaam,bsn,burgerlijkeStaat,geboortedatum,geslacht,inkomens,nationaliteit,opleiding,overlijdensdatum,roepnaam,tussenvoegsels,voorkeurstaal,voorletters
Zaken-Rechtspersoon;allOf: Zaken-Relatie,naam,btwNummer,globaalLocatienummer,kvkNummer,organisatievorm,relaties
Zaken-Relatie;id,idExtern,idGegevensbeheerder,code,soort,rollen
Zaken-Relatiegroep;allOf: Zaken-Relatie,naam,relaties
Zaken-Relatierol;id,idExtern,idGegevensbeheerder,code,soort,naam
Zaken-Zaak;id,idExtern,idGegevensbeheerder,code,omschrijving,toelichting,begindatum,einddatum,registratiedatum,geplandeEinddatum,uiterlijkeEinddatum,deelzaken,eenheden,gerelateerdeZaken,isDeelzaakVan,overeenkomsten,relaties,rollen,zaakstatussen,zaaktype,extra-attributen,informatieobjecten
Zaken-Zaakrol;id,idExtern,idGegevensbeheerder,code,omschrijving,generiekeOmschrijving,indicatieGemachtigde,relatie,toelichtingRol
Zaken-Zaakstatus;id,idExtern,idGegevensbeheerder,code,soort,toelichting,begindatum,einddatum
Zaken-Zaaktype;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,omschrijving,generiekeOmschrijving,begindatum,einddatum,archiefcode,doel,doorlooptijd,externePublicatie,externePublicatietekst,servicenorm,vertrouwelijkheid
