                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1849,                 1.3538,                 1.2372,                0.67266,                0.54906,                 0.6141,                0.45874,                 1.0678,                 1.1013,                 1.1302,                 0.0937,                 0.0007,                 0.0007
                      1,                  1.151,                 1.2605,                 1.2084,                0.67846,                0.59843,                0.65595,                0.49331,                 1.0497,                 1.0582,                  1.112,               0.086485,              0.0014851,              0.0014851
                      2,                  1.156,                 1.2452,                 1.2155,                0.68908,                0.59531,                0.65649,                 0.4927,                 1.0503,                 1.0615,                 1.1162,               0.079254,              0.0022545,              0.0022545
                      3,                 1.1206,                 1.2479,                 1.2252,                0.71457,                0.59823,                0.66944,                 0.5101,                 1.0285,                  1.015,                 1.1103,               0.072008,              0.0030079,              0.0030079
                      4,                 1.1014,                 1.1891,                 1.2115,                0.78404,                0.58046,                  0.675,                0.50772,                 1.0497,                 1.0169,                 1.1286,               0.064746,              0.0037456,              0.0037456
                      5,                 1.1229,                 1.1546,                 1.1835,                0.72317,                0.63731,                0.70515,                0.53915,                 1.0172,                0.96175,                 1.0962,               0.057467,              0.0044673,              0.0044673
                      6,                  1.115,                 1.1738,                 1.1884,                0.80988,                0.60905,                0.72329,                0.55186,                 1.0368,                 0.9516,                 1.1055,               0.050173,              0.0051733,              0.0051733
                      7,                 1.0991,                 1.1461,                 1.1577,                0.70838,                0.66611,                0.72507,                0.54574,                 1.0078,                0.93472,                 1.0881,               0.042863,              0.0058634,              0.0058634
                      8,                 1.0771,                 1.0867,                  1.149,                0.72452,                 0.5471,                0.67142,                0.49198,                 1.1036,                 1.1303,                 1.1497,               0.035538,              0.0065377,              0.0065377
                      9,                 1.0914,                 1.0901,                 1.1681,                0.74209,                0.55974,                0.69715,                0.50435,                 1.0847,                 1.0734,                 1.1352,               0.028196,              0.0071961,              0.0071961
                     10,                 1.0955,                 1.1316,                 1.1658,                0.76288,                 0.5121,                0.64771,                0.46388,                 1.1494,                 1.2367,                 1.1879,               0.020839,              0.0078387,              0.0078387
                     11,                 1.0882,                 1.1441,                 1.1847,                0.64399,                0.57045,                0.65408,                0.47175,                 1.1773,                 1.2576,                  1.205,               0.013465,              0.0084655,              0.0084655
                     12,                 1.1333,                 1.0947,                 1.1761,                0.74101,                0.62813,                0.71112,                0.53558,                  1.077,                 1.0356,                 1.1321,               0.008812,               0.008812,               0.008812
                     13,                 1.1252,                 1.1153,                 1.1564,                0.73701,                0.61381,                0.69984,                0.51462,                 1.1247,                 1.0813,                 1.1686,               0.008812,               0.008812,               0.008812
